model_id,arm,cycle,state_index,state,occupancy
A,HPE,27,8,Unresolved serious GI event,3.71352930687027e-05
A,HPE,27,9,Post-event,0.7973880872040244
A,HPE,27,10,Dead,0.14344739050748195
A,HPE,28,1,Well no HPE,0.0
A,HPE,28,2,Well with HPE,0.007851333521859643
A,HPE,28,3,GI discomfort,0.041953583148827765
A,HPE,28,4,Unresolved GI discomfort,0.006206617723974251
A,HPE,28,5,Symptomatic ulcer,0.0006517192394581631
A,HPE,28,6,Unresolved ulcer,9.653608449686994e-05
A,HPE,28,7,Serious GI event,0.0002479070071042566
A,HPE,28,8,Unresolved serious GI event,3.666903094493859e-05
A,HPE,28,9,Post-event,0.7923186430026229
A,HPE,28,10,Dead,0.15063699124070967
A,HPE,29,1,Well no HPE,0.0
A,HPE,29,2,Well with HPE,0.0065831424381184
A,HPE,29,3,GI discomfort,0.04146952574666932
A,HPE,29,4,Unresolved GI discomfort,0.00613152532440461
A,HPE,29,5,Symptomatic ulcer,0.0006435132765065354
A,HPE,29,6,Unresolved ulcer,9.524890894214581e-05
A,HPE,29,7,Serious GI event,0.00024508285030400964
A,HPE,29,8,Unresolved serious GI event,3.623166313982825e-05
A,HPE,29,9,Post-event,0.7870298420229767
A,HPE,29,10,Dead,0.15776588776893685
A,HPE,30,1,Well no HPE,0.0
A,HPE,30,2,Well with HPE,0.005519796635806477
A,HPE,30,3,GI discomfort,0.04101085594277652
A,HPE,30,4,Unresolved GI discomfort,0.006060780229539381
A,HPE,30,5,Symptomatic ulcer,0.0006358183351197018
A,HPE,30,6,Unresolved ulcer,9.404960566760687e-05
A,HPE,30,7,Serious GI event,0.000242402563862375
A,HPE,30,8,Unresolved serious GI event,3.581891200771697e-05
A,HPE,30,9,Post-event,0.7815658274540602
A,HPE,30,10,Dead,0.16483465032115824
A,HPE,31,1,Well no HPE,0.0
A,HPE,31,2,Well with HPE,0.004628208365087258
A,HPE,31,3,GI discomfort,0.04057391603169553
A,HPE,31,4,Unresolved GI discomfort,0.005993745537695976
A,HPE,31,5,Symptomatic ulcer,0.0006285587062416643
